City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,brigantine,39.4101,-74.3646,68.02,97,100,15.01,US,1727654670
146,deschutes river woods,43.9915,-121.3584,63.19,24,0,11.5,US,1727654672
147,bandarbeyla,9.4942,50.8122,76.73,82,25,21.0,SO,1727654673
148,ca mau,9.1769,105.15,80.73,85,99,4.59,VN,1727654376
149,saipan,15.1355,145.701,90.3,66,40,11.5,MP,1727654675
150,kapuskasing,49.4169,-82.4331,52.63,70,0,3.94,CA,1727654676
151,peace river,56.2501,-117.286,50.31,66,40,10.36,CA,1727654678
152,san patricio,28.017,-97.5169,89.17,34,0,3.83,US,1727654679
153,kupang,-10.1667,123.5833,86.58,79,20,9.22,ID,1727654449
154,constantia,44.1833,28.65,52.7,87,98,25.88,RO,1727654681
155,tazacorte,28.629,-17.9293,69.15,92,0,9.22,ES,1727654682
156,ewo,-0.8725,14.8206,72.97,90,60,4.29,CG,1727654683
157,gadani,25.1185,66.7299,82.62,84,5,12.12,PK,1727654685
158,rio preto da eva,-2.6994,-59.6997,80.42,73,99,2.86,BR,1727654686
159,toliara,-23.35,43.6667,70.81,87,53,6.13,MG,1727654687
160,haiku-pauwela,20.9219,-156.3051,83.25,65,21,31.0,US,1727654688
161,saskatoon,52.1168,-106.6345,67.98,49,89,18.01,CA,1727654689
162,ilulissat,69.2167,-51.1,39.22,93,100,9.22,GL,1727654691
163,mihalgazi,40.0262,30.5771,67.6,83,1,7.58,TR,1727654692
164,klyuchi,52.2667,79.1667,48.29,38,100,10.38,RU,1727654693
165,ishikawa,26.4233,127.8214,83.03,87,62,8.34,JP,1727654426
166,east london,-33.0153,27.9116,54.88,58,37,19.89,ZA,1727654696
167,margate,51.3813,1.3862,52.7,83,93,1.99,GB,1727654697
168,praia da vitoria,38.7333,-27.0667,74.55,88,100,22.53,PT,1727654699
169,granville,-33.8333,151.0167,69.01,73,73,5.99,AU,1727654700
170,tiksi,71.6872,128.8694,27.88,84,98,4.16,RU,1727654701
171,aasiaat,68.7098,-52.8699,37.92,95,100,28.57,GL,1727654704
172,kimbe,-5.5502,150.1429,89.78,56,63,5.97,PG,1727654705
173,pangai,-19.8,-174.35,73.31,72,98,18.43,TO,1727654706
174,safranbolu,41.2508,32.6942,62.85,63,1,2.15,TR,1727654707
175,kampong thom,12.7111,104.8887,79.79,85,83,2.77,KH,1727654709
176,grafton,42.207,-71.6856,59.92,90,100,3.44,US,1727654710
177,souillac,-20.5167,57.5167,66.34,76,0,10.09,MU,1727654711
178,amga,60.8953,131.9608,33.94,88,98,7.9,RU,1727654712
179,carnarvon,-24.8667,113.6333,68.2,36,0,20.45,AU,1727654713
180,vilyuchinsk,52.9306,158.4028,57.47,80,100,18.9,RU,1727654716
181,punta cana,18.5818,-68.4043,80.38,82,18,8.21,DO,1727654717
182,mukalla,14.5425,49.1242,79.93,85,86,9.55,YE,1727654718
183,roma,43.2128,-75.4557,64.96,89,40,4.61,US,1727654719
184,nemuro,43.3236,145.575,59.9,89,75,9.71,JP,1727654551
185,port-vila,-17.7338,168.3219,80.1,74,54,12.26,VU,1727654694
186,enshi,30.3,109.4833,74.35,93,100,3.38,CN,1727654723
187,guelendeng,10.9176,15.5501,77.16,79,35,7.0,TD,1727654724
188,smithers,54.7804,-127.1743,50.4,54,65,5.7,CA,1727654725
189,fisterra,42.9049,-9.2629,61.75,99,100,6.55,ES,1727654727
190,hirara,24.8,125.2833,83.97,84,100,20.24,JP,1727654547
191,soligalich,59.0778,42.2864,49.17,90,100,5.82,RU,1727654729
192,ust'-ilimsk,58.0006,102.6619,35.8,97,100,9.64,RU,1727654730
193,grao de murviedro,39.6417,-0.2389,69.35,87,6,0.09,ES,1727654733
194,blackwater,-23.5833,148.8833,80.65,35,0,2.48,AU,1727654734
195,murzuq,25.9155,13.9184,79.59,29,0,15.48,LY,1727654736
196,leninskoye,41.7589,69.3864,63.37,28,100,5.53,KZ,1727654737
197,dunda,-8.1167,34.25,68.4,58,100,2.82,TZ,1727654738
198,kudahuvadhoo,2.6708,72.8944,82.11,76,91,9.51,MV,1727654739
199,whitecourt,54.1502,-115.6855,43.02,85,100,9.75,CA,1727654740
200,aldinga beach,-35.2793,138.4604,61.27,83,26,10.33,AU,1727654742
201,at taj,24.2049,23.2857,75.6,33,0,9.06,LY,1727654743
202,zaigrayevo,51.8336,108.2703,30.2,72,23,5.06,RU,1727654744
203,ankpa,7.3706,7.6253,70.95,97,39,3.58,NG,1727654745
204,imuris,30.7833,-110.8667,95.52,14,3,14.76,MX,1727654746
205,inarajan village,13.2736,144.7484,89.74,85,48,13.89,GU,1727654748
206,port lincoln,-34.7333,135.8667,61.16,65,0,9.6,AU,1727654452
207,usinsk,65.9939,57.5281,51.13,83,100,26.98,RU,1727654750
208,george town,5.4112,100.3354,80.53,78,20,2.3,MY,1727654474
209,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,54,75,6.71,RU,1727654752
210,amasra,41.7463,32.3863,67.48,81,5,10.87,TR,1727654753
211,fortaleza,-3.7227,-38.5247,81.07,99,52,15.82,BR,1727654755
212,marsh harbour,26.5412,-77.0636,83.64,76,96,9.84,BS,1727654756
213,ust'-kulom,61.6864,53.6902,54.88,85,100,8.7,RU,1727654759
214,sinop,41.7711,34.8709,65.97,51,2,6.87,TR,1727654760
215,la'ie,21.6477,-157.9253,87.01,67,50,12.86,US,1727654761
216,midvagur,62.0511,-7.1939,50.83,93,100,10.36,FO,1727654763
217,auki,-8.7676,160.7034,85.33,65,25,1.52,SB,1727654764
218,qusmuryn,52.4503,64.6311,53.38,49,62,4.59,KZ,1727654766
219,parksville,49.3163,-124.3195,61.68,63,13,1.99,CA,1727654767
220,nadi,-17.8,177.4167,82.4,57,40,13.8,FJ,1727654769
221,thunder bay,48.4001,-89.3168,55.15,69,0,3.98,CA,1727654770
222,merizo village,13.2658,144.6691,89.33,85,48,13.82,GU,1727654771
223,labrador city,52.9463,-66.9114,46.18,75,91,14.0,CA,1727654772
224,brookings,44.3114,-96.7984,78.8,43,0,9.22,US,1727654773
225,callao,-12.0667,-77.15,66.72,87,63,13.15,PE,1727654571
226,sarina,-21.4333,149.2167,83.26,33,0,5.73,AU,1727654776
227,tromso,69.6496,18.957,35.62,87,75,10.36,NO,1727654777
228,sai kung,22.3822,114.2728,84.24,82,12,8.01,CN,1727654778
229,kolonia,50.9333,6.95,52.25,71,0,5.75,DE,1727654779
230,swakopmund,-22.6833,14.5333,52.99,78,0,3.0,NA,1727654781
231,inhambane,-23.865,35.3833,75.31,90,69,13.49,MZ,1727654782
232,itagi,-14.1628,-40.0061,66.65,94,41,2.21,BR,1727654783
233,flying fish cove,-10.4217,105.6791,80.28,89,100,13.8,CX,1727654784
234,akjoujt,19.6969,-14.4164,94.24,26,100,12.06,MR,1727654785
235,da nang,16.0678,108.2208,80.58,89,20,2.3,VN,1727654570
236,afif,23.9065,42.9172,79.38,17,28,9.8,SA,1727654788
237,ceerigaabo,10.6162,47.368,66.51,70,97,11.43,SO,1727654789
238,kidal,18.4411,1.4078,92.98,26,55,3.74,ML,1727654790
239,tabou,4.423,-7.3528,76.1,90,87,6.17,CI,1727654791
240,barra de santo antonio,-9.4047,-35.5072,75.31,86,91,13.0,BR,1727654793
241,tura,25.5198,90.2201,73.44,97,68,2.71,IN,1727654794
242,oranjemund,-28.55,16.4333,53.42,76,1,8.34,NA,1727654795
243,mount pearl,47.5166,-52.7813,54.95,95,75,3.44,CA,1727654796
244,chonchi,-42.6128,-73.8092,51.01,98,100,2.26,CL,1727654797
245,dalbandin,28.8947,64.4101,76.53,23,1,5.88,PK,1727654798
246,totness,5.8833,-56.3167,80.78,86,100,11.43,SR,1727654800
247,igrim,63.1906,64.4162,55.29,81,100,9.75,RU,1727654801
248,tosontsengel,48.7567,98.2839,18.03,75,21,5.86,MN,1727654802
249,prince george,53.9166,-122.753,50.61,58,80,1.99,CA,1727654803
250,tsengel,49.4783,100.8894,25.25,63,55,4.7,MN,1727654804
251,nova sintra,14.8667,-24.7167,76.14,83,91,5.79,CV,1727654806
252,udachny,66.4167,112.4,29.95,96,100,10.6,RU,1727654807
253,punta arenas,-53.15,-70.9167,33.91,55,0,9.22,CL,1727654808
254,nouadhibou,20.931,-17.0347,80.58,50,17,17.27,MR,1727654677
255,coahuayana de hidalgo,18.7,-103.6583,81.19,86,67,2.44,MX,1727654810
256,bannu,32.9854,70.6027,84.6,47,0,3.27,PK,1727654812
257,nantucket,41.2835,-70.0995,60.15,94,20,5.75,US,1727654813
258,kropachevo,55.0112,57.9896,46.51,55,100,5.95,RU,1727654814
259,vilyuysk,63.7553,121.6247,32.59,91,95,4.7,RU,1727654815
260,jajpur,20.85,86.3333,80.06,84,76,4.29,IN,1727654816
261,zhumysker,49.3333,49.4,57.99,35,4,10.58,KZ,1727654818
262,kirakira,-10.4544,161.9205,84.97,68,38,7.4,SB,1727654819
263,mata-utu,-13.2816,-176.1745,80.83,82,72,20.07,WF,1727654820
264,quibdo,5.6947,-76.6611,74.86,92,98,1.19,CO,1727654821
265,zeya,53.75,127.2667,41.88,58,96,7.27,RU,1727654822
266,celestun,20.8667,-90.4,83.5,76,61,12.66,MX,1727654824
267,caleta de carquin,-11.0925,-77.6267,63.72,84,41,10.11,PE,1727654825
268,taourirt,34.4073,-2.8973,69.4,80,0,6.31,MA,1727654826
269,dwarka,22.2394,68.9678,81.19,84,38,8.97,IN,1727654827
270,iglino,54.8324,56.4126,37.49,45,98,7.76,RU,1727654828
271,tarancon,40.0085,-3.0073,61.77,34,5,2.71,ES,1727654830
272,orcopampa,-15.2661,-72.3417,50.25,33,42,5.17,PE,1727654831
273,adrar,20.5022,-10.0711,91.29,24,95,16.35,MR,1727654832
274,kapa'a,22.0752,-159.319,84.52,68,0,12.66,US,1727654833
275,brak,27.5496,14.2714,78.69,38,0,14.5,LY,1727654834
276,tsiombe,-25.3,45.4833,73.15,73,68,4.32,MG,1727654835
